nomination_ID,Year,WorldwideBoxOffice,DomesticBoxOffice,InternationalBoxOffice,category,winner,nomination_count,movie_ID
0,2009,2845899541.0,760507625.0,2085391916.0,ART DIRECTION,True,9,0
1,2009,2845899541.0,760507625.0,2085391916.0,CINEMATOGRAPHY,True,9,0
2,2009,2845899541.0,760507625.0,2085391916.0,DIRECTING,False,9,0
3,2009,2845899541.0,760507625.0,2085391916.0,FILM EDITING,False,9,0
4,2009,2845899541.0,760507625.0,2085391916.0,MUSIC (Original Score),False,9,0
5,2009,2845899541.0,760507625.0,2085391916.0,BEST PICTURE,False,9,0
6,2009,2845899541.0,760507625.0,2085391916.0,SOUND EDITING,False,9,0
7,2009,2845899541.0,760507625.0,2085391916.0,SOUND MIXING,False,9,0
8,2009,2845899541.0,760507625.0,2085391916.0,VISUAL EFFECTS,True,9,0
9,2019,2797800564.0,858373000.0,1939427564.0,VISUAL EFFECTS,False,1,1
10,1997,2207986545.0,659363944.0,1548622601.0,ART DIRECTION (Black-and-White),False,16,2
11,1997,2207986545.0,659363944.0,1548622601.0,WRITING (Story and Screenplay),True,16,2
12,1997,2207986545.0,659363944.0,1548622601.0,ACTRESS IN A LEADING ROLE,False,16,2
13,1997,2207986545.0,659363944.0,1548622601.0,ACTRESS IN A SUPPORTING ROLE,False,16,2
14,1997,2207986545.0,659363944.0,1548622601.0,ART DIRECTION,True,16,2
15,1997,2207986545.0,659363944.0,1548622601.0,CINEMATOGRAPHY,True,16,2
16,1997,2207986545.0,659363944.0,1548622601.0,COSTUME DESIGN,True,16,2
17,1997,2207986545.0,659363944.0,1548622601.0,DIRECTING,True,16,2
18,1997,2207986545.0,659363944.0,1548622601.0,FILM EDITING,True,16,2
19,1997,2207986545.0,659363944.0,1548622601.0,MAKEUP,False,16,2
20,1997,2207986545.0,659363944.0,1548622601.0,MUSIC (Original Dramatic Score),True,16,2
21,1997,2207986545.0,659363944.0,1548622601.0,MUSIC (Original Song),True,16,2
22,1997,2207986545.0,659363944.0,1548622601.0,BEST PICTURE,True,16,2
23,1997,2207986545.0,659363944.0,1548622601.0,SOUND,True,16,2
24,1997,2207986545.0,659363944.0,1548622601.0,SOUND EFFECTS EDITING,True,16,2
25,1997,2207986545.0,659363944.0,1548622601.0,VISUAL EFFECTS,True,16,2
26,2018,2044540523.0,678815482.0,1365725041.0,VISUAL EFFECTS,False,1,3
27,2019,1654367425.0,543638043.0,1110729382.0,MUSIC (Original Score),True,10,4
28,2019,1654367425.0,543638043.0,1110729382.0,MUSIC (Original Song),True,10,4
29,2019,1654367425.0,543638043.0,1110729382.0,MUSIC (Original Song),False,10,4
