film_year,Movie ID,film
avatar2009,0,avatar
avengers: endgame2019,1,avengers: endgame
titanic1997,2,titanic
avengers: infinity war2018,3,avengers: infinity war
the lion king2019,4,the lion king
the lion king1994,5,the lion king
frozen ii2019,6,frozen ii
black panther2018,7,black panther
frozen2013,8,frozen
beauty and the beast2017,9,beauty and the beast
beauty and the beast1991,10,beauty and the beast
incredibles 22018,11,incredibles 2
iron man 32013,12,iron man 3
transformers: dark of the moon2011,13,transformers: dark of the moon
skyfall2012,14,skyfall
toy story 42019,15,toy story 4
star wars: the rise of skywalker2019,16,star wars: the rise of skywalker
joker2019,17,joker
toy story 32010,18,toy story 3
rogue one: a star wars story2016,19,rogue one: a star wars story
aladdin2019,20,aladdin
aladdin1992,21,aladdin
jurassic park1993,22,jurassic park
alice in wonderland2010,23,alice in wonderland
the hobbit: an unexpected journey2012,24,the hobbit: an unexpected journey
zootopia2016,25,zootopia
the dark knight2008,26,the dark knight
despicable me 22013,27,despicable me 2
the hobbit: the desolation of smaug2013,28,the hobbit: the desolation of smaug
the jungle book2016,29,the jungle book
finding nemo2003,30,finding nemo
shrek 22004,31,shrek 2
harry potter and the half-blood prince2009,32,harry potter and the half-blood prince
the lord of the rings: the two towers2002,33,the lord of the rings: the two towers
bohemian rhapsody2018,34,bohemian rhapsody
harry potter and the goblet of fire2005,35,harry potter and the goblet of fire
spectre2015,36,spectre
inside out2015,37,inside out
transformers: revenge of the fallen2009,38,transformers: revenge of the fallen
spider-man2002,39,spider-man
independence day1996,40,independence day
fantastic beasts and where to find them2016,41,fantastic beasts and where to find them
coco2017,42,coco
spider-man 22004,43,spider-man 2
e.t. the extra-terrestrial1982,44,e.t. the extra-terrestrial
harry potter and the prisoner of azkaban2004,45,harry potter and the prisoner of azkaban
guardians of the galaxy2014,46,guardians of the galaxy
maleficent2014,47,maleficent
x-men: days of future past2014,48,x-men: days of future past
suicide squad2016,49,suicide squad
up2009,50,up
inception2010,51,inception
captain america: the winter soldier2014,52,captain america: the winter soldier
dawn of the planet of the apes2014,53,dawn of the planet of the apes
transformers2007,54,transformers
gravity2013,55,gravity
forrest gump1994,56,forrest gump
doctor strange2016,57,doctor strange
the sixth sense1999,58,the sixth sense
kung fu panda 22011,59,kung fu panda 2
the martian2015,60,the martian
interstellar2014,61,interstellar
big hero 62014,62,big hero 6
moana2016,63,moana
sing2016,64,sing
kung fu panda2008,65,kung fu panda
the incredibles2004,66,the incredibles
ratatouille2007,67,ratatouille
the passion of the christ2004,68,the passion of the christ
iron man 22010,69,iron man 2
life of pi2012,70,life of pi
the lost world: jurassic park1997,71,the lost world: jurassic park
how to train your dragon 22014,72,how to train your dragon 2
logan2017,73,logan
war of the worlds2005,74,war of the worlds
casino royale2006,75,casino royale
men in black1997,76,men in black
tangled2010,77,tangled
iron man2008,78,iron man
ready player one2018,79,ready player one
the croods2013,80,the croods
fifty shades of grey2015,81,fifty shades of grey
kong: skull island2017,82,kong: skull island
"monsters, inc.2001",83,"monsters, inc."
ted2012,84,ted
puss in boots2011,85,puss in boots
brave2012,86,brave
armageddon1998,87,armageddon
king kong2005,88,king kong
american sniper2014,89,american sniper
cinderella2015,90,cinderella
cinderella1950,91,cinderella
the revenant2015,92,the revenant
wall-e2008,93,wall-e
ralph breaks the internet2018,94,ralph breaks the internet
dunkirk2017,95,dunkirk
ghost1990,96,ghost
terminator 2: judgment day1991,97,terminator 2: judgment day
toy story 21999,98,toy story 2
sherlock holmes2009,99,sherlock holmes
wreck-it ralph2012,100,wreck-it ralph
twister1996,101,twister
how to train your dragon2010,102,how to train your dragon
shrek2001,103,shrek
war for the planet of the apes2017,104,war for the planet of the apes
maleficent: mistress of evil2019,105,maleficent: mistress of evil
rio2011,106,rio
saving private ryan1998,107,saving private ryan
troy2004,108,troy
home alone1990,109,home alone
charlie and the chocolate factory2005,110,charlie and the chocolate factory
indiana jones and the last crusade1989,111,indiana jones and the last crusade
rise of the planet of the apes2011,112,rise of the planet of the apes
jaws1975,113,jaws
the lego movie2014,114,the lego movie
star trek into darkness2013,115,star trek into darkness
the matrix1999,116,the matrix
cars2006,117,cars
gladiator2000,118,gladiator
the last samurai2003,119,the last samurai
django unchained2012,120,django unchained
pearl harbor2001,121,pearl harbor
tarzan1999,122,tarzan
la la land2016,123,la la land
the bourne ultimatum2007,124,the bourne ultimatum
mrs. doubtfire1993,125,mrs. doubtfire
the greatest showman2017,126,the greatest showman
pretty woman1990,127,pretty woman
a star is born2018,128,a star is born
the exorcist1973,129,the exorcist
cast away2000,130,cast away
dances with wolves1990,131,dances with wolves
the mummy1999,132,the mummy
the mummy2017,133,the mummy
rain man1988,134,rain man
batman1989,135,batman
prometheus2012,136,prometheus
snow white and the huntsman2012,137,snow white and the huntsman
tron: legacy2010,138,tron: legacy
solo: a star wars story2018,139,solo: a star wars story
superman returns2006,140,superman returns
gone with the wind1939,141,gone with the wind
robin hood: prince of thieves1991,142,robin hood: prince of thieves
the wolf of wall street2013,143,the wolf of wall street
grease1978,144,grease
star trek2009,145,star trek
ice age2002,146,ice age
back to the future1985,147,back to the future
happy feet2006,148,happy feet
slumdog millionaire2008,149,slumdog millionaire
my big fat greek wedding2002,150,my big fat greek wedding
the adventures of tintin2011,151,the adventures of tintin
shark tale2004,152,shark tale
mad max: fury road2015,153,mad max: fury road
raiders of the lost ark1981,154,raiders of the lost ark
the golden compass2007,155,the golden compass
gone girl2014,156,gone girl
19172019,157,1917
true lies1994,158,true lies
toy story1995,159,toy story
a bug's life1998,160,a bug's life
planet of the apes2001,161,planet of the apes
batman begins2005,162,batman begins
minority report2002,163,minority report
top gun1986,164,top gun
